,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2005-01-31,85.8334,-0.0224,0.046307568538574796,2932.3153,0.008442545461103235,3527.4472,595.1319,0.1687,,85.8334,-0.0224,0.034434127073945595,3238.6133,0.05770294567903811,3312.8908,74.2775,0.0224
1,2005-02-28,87.6276,0.0209,,2993.6119,,3527.4472,533.8353,0.1513,,87.6276,0.0209,,3306.3126,,3312.8908,6.5782,0.002
2,2005-03-31,86.0257,-0.0183,,2938.8867,,3527.4472,588.5605,0.1669,,86.0257,-0.0183,,3245.8711,,3312.8908,67.0197,0.0202
3,2005-04-29,84.414,-0.0187,,2883.8262,,3527.4472,643.621,0.1825,,84.414,-0.0187,,3185.0592,,3312.8908,127.8316,0.0386
4,2005-05-31,87.1342,0.0322,,2976.7565,,3527.4472,550.6907,0.1561,,87.1342,0.0,,3185.0592,,3312.8908,127.8316,0.0386
5,2005-06-30,87.2647,0.0015,,2981.2126,,3527.4472,546.2346,0.1549,,87.2647,0.0015,,3189.8271,,3312.8908,123.0637,0.0371
6,2005-07-29,90.6035,0.0383,,3095.2781,,3527.4472,432.1691,0.1225,,90.6035,0.0383,,3311.8745,,3312.8908,1.0163,0.0003
7,2005-08-31,89.7542,-0.0094,,3066.2615,,3527.4472,461.1857,0.1307,,89.7542,-0.0094,,3280.8274,,3312.8908,32.0634,0.0097
8,2005-09-30,90.4716,0.008,,3090.7693,,3527.4472,436.6779,0.1238,,90.4716,0.008,,3307.0501,,3312.8908,5.8407,0.0018
9,2005-10-31,88.3318,-0.0237,,3017.6699,,3527.4472,509.7773,0.1445,,88.3318,-0.0237,,3228.8355,,3312.8908,84.0553,0.0254
10,2005-11-30,92.2142,0.044,,3150.3038,,3527.4472,377.1434,0.1069,,92.2142,0.044,,3370.7507,,3370.7507,0.0,0.0
11,2005-12-30,92.0391,-0.0019,,3144.3211,,3527.4472,383.1261,0.1086,,92.0391,-0.0019,,3364.3493,,3370.7507,6.4014,0.0019
12,2006-01-31,94.2493,0.024,,3219.8292,,3527.4472,307.618,0.0872,,94.2493,0.024,,3445.1412,,3445.1412,-0.0,-0.0
13,2006-02-28,94.789,0.0057,,3238.2642,,3527.4472,289.183,0.082,,94.789,0.0057,,3464.8662,,3464.8662,-0.0,-0.0
14,2006-03-31,96.3534,0.0165,,3291.7092,,3527.4472,235.738,0.0668,,96.3534,0.0165,,3522.0511,,3522.0511,0.0,0.0
15,2006-04-28,97.5705,0.0126,,3333.2897,,3527.4472,194.1575,0.055,,97.5705,0.0126,,3566.5413,,3566.5413,0.0,0.0
16,2006-05-31,94.6316,-0.0301,,3232.8879,,3527.4472,294.5593,0.0835,,94.6316,-0.0301,,3459.1137,,3566.5413,107.4276,0.0301
17,2006-06-30,94.8818,0.0026,,3241.4369,,3527.4472,286.0103,0.0811,,94.8818,0.0026,,3468.261,,3566.5413,98.2803,0.0276
18,2006-07-31,95.3067,0.0045,,3255.9531,,3527.4472,271.4941,0.077,,95.3067,0.0045,,3483.7929,,3566.5413,82.7484,0.0232
19,2006-08-31,97.3866,0.0218,,3327.006,,3527.4472,200.4412,0.0568,,97.3866,0.0218,,3559.8178,,3566.5413,6.7235,0.0019
20,2006-09-29,100.0154,0.027,,3416.8141,,3527.4472,110.6331,0.0314,,100.0154,0.027,,3655.9104,,3655.9104,-0.0,-0.0
21,2006-10-31,103.1675,0.0315,,3524.5006,,3527.4472,2.9466,0.0008,,103.1675,0.0315,,3771.1324,,3771.1324,-0.0,-0.0
22,2006-11-30,105.2191,0.0199,,3594.5866,,3594.5866,-0.0,-0.0,,105.2191,0.0199,,3846.1228,,3846.1228,0.0,0.0
23,2006-12-29,106.6257,0.0134,,3642.6399,,3642.6399,0.0,0.0,,106.6257,0.0134,,3897.5386,,3897.5386,-0.0,-0.0
24,2007-01-31,108.2293,0.015,,3697.4262,,3697.4262,-0.0,-0.0,,108.2293,0.015,,3956.1587,,3956.1587,-0.0,-0.0
25,2007-02-28,106.1062,-0.0196,,3624.8922,,3697.4262,72.534,0.0196,,106.1062,-0.0196,,3878.549,,3956.1587,77.6097,0.0196
26,2007-03-30,107.3372,0.0116,,3666.9486,,3697.4262,30.4776,0.0082,,107.3372,0.0116,,3923.5484,,3956.1587,32.6103,0.0082
27,2007-04-30,112.0918,0.0443,,3829.3787,,3829.3787,-0.0,-0.0,,112.0918,0.0443,,4097.3448,,4097.3448,0.0,0.0
28,2007-05-31,115.894,0.0339,,3959.2717,,3959.2717,0.0,0.0,,115.894,0.0339,,4236.3272,,4236.3272,-0.0,-0.0
29,2007-06-29,114.1964,-0.0146,,3901.2791,,3959.2717,57.9926,0.0146,,114.1964,-0.0146,,4174.2765,,4236.3272,62.0507,0.0146
30,2007-07-31,110.6209,-0.0313,,3779.1293,,3959.2717,180.1424,0.0455,,110.6209,-0.0313,,4043.5791,,4236.3272,192.7481,0.0455
31,2007-08-31,112.0405,0.0128,,3827.6261,,3959.2717,131.6456,0.0332,,112.0405,0.0128,,4095.4696,,4236.3272,140.8576,0.0332
32,2007-09-28,116.3764,0.0387,,3975.7521,,3975.7521,0.0,0.0,,116.3764,0.0387,,4253.9609,,4253.9609,0.0,0.0
33,2007-10-31,117.9552,0.0136,,4029.6895,,4029.6895,-0.0,-0.0,,117.9552,0.0136,,4311.6726,,4311.6726,-0.0,-0.0
34,2007-11-30,113.3865,-0.0387,,3873.6093,,4029.6895,156.0802,0.0387,,113.3865,-0.0387,,4144.6705,,4311.6726,167.0021,0.0387
35,2007-12-31,112.1016,-0.0113,,3829.713,,4029.6895,199.9765,0.0496,,112.1016,0.0,,4144.6705,,4311.6726,167.0021,0.0387
36,2008-01-31,105.3238,-0.0605,,3598.1645,,4029.6895,431.525,0.1071,,105.3238,-0.0605,,3894.0794,,4311.6726,417.5932,0.0969
37,2008-02-29,102.602,-0.0258,,3505.1788,,4029.6895,524.5107,0.1302,,102.602,0.0,,3894.0794,,4311.6726,417.5932,0.0969
38,2008-03-31,101.6753,-0.009,,3473.5219,,4029.6895,556.1676,0.138,,101.6753,0.0,,3894.0794,,4311.6726,417.5932,0.0969
39,2008-04-30,106.5214,0.0477,,3639.078,,4029.6895,390.6115,0.0969,,106.5214,0.0,,3894.0794,,4311.6726,417.5932,0.0969
40,2008-05-30,108.1316,0.0151,,3694.0882,,4029.6895,335.6013,0.0833,,108.1316,0.0151,,3952.9443,,4311.6726,358.7283,0.0832
41,2008-06-30,99.1027,-0.0835,,3385.6353,,4029.6895,644.0542,0.1598,,99.1027,-0.0835,,3622.8772,,4311.6726,688.7954,0.1598
42,2008-07-31,98.2122,-0.009,,3355.2128,,4029.6895,674.4767,0.1674,,98.2122,0.0,,3622.8772,,4311.6726,688.7954,0.1598
43,2008-08-29,99.73,0.0155,,3407.0632,,4029.6895,622.6263,0.1545,,99.73,0.0,,3622.8772,,4311.6726,688.7954,0.1598
44,2008-09-30,90.3181,-0.0944,,3085.5275,,4029.6895,944.162,0.2343,,90.3181,-0.0944,,3280.9745,,4311.6726,1030.6981,0.239
45,2008-10-31,75.3988,-0.1652,,2575.8396,,4029.6895,1453.8499,0.3608,,75.3988,0.0,,3280.9745,,4311.6726,1030.6981,0.239
46,2008-11-28,70.1505,-0.0696,,2396.5442,,4029.6895,1633.1453,0.4053,,70.1505,0.0,,3280.9745,,4311.6726,1030.6981,0.239
47,2008-12-31,70.8405,0.0098,,2420.115,,4029.6895,1609.5745,0.3994,,70.8405,0.0,,3280.9745,,4311.6726,1030.6981,0.239
48,2009-01-30,65.0235,-0.0821,,2221.3889,,4029.6895,1808.3006,0.4487,,65.0235,-0.0821,,3011.5595,,4311.6726,1300.1131,0.3015
49,2009-02-27,58.0368,-0.1074,,1982.7029,,4029.6895,2046.9866,0.508,,58.0368,0.0,,3011.5595,,4311.6726,1300.1131,0.3015
50,2009-03-31,62.8819,0.0835,,2148.2274,,4029.6895,1881.4621,0.4669,,62.8819,0.0,,3011.5595,,4311.6726,1300.1131,0.3015
51,2009-04-30,69.129,0.0993,,2361.6454,,4029.6895,1668.0441,0.4139,,69.129,0.0993,,3310.7462,,4311.6726,1000.9264,0.2321
