,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage,       ,Adjusted Close,Adj 1 Month Change,Adj Monthly Change Std,Adjusted Equity,Adjusted CAGR,Adj Max Equity,Adj Dropdown,Adj DD Percentage
0,2001-01-31,93.399,0.0445,0.043209332273019756,3190.7798,-0.002929169175834301,3527.4472,336.6674,0.0954,,93.399,0.0,0.0332008038838079,2673.3294,0.047055544846618114,3069.1754,395.846,0.129
1,2001-02-28,84.4899,-0.0954,,2886.419,,3527.4472,641.0282,0.1817,,84.4899,-0.0954,,2418.327,,3069.1754,650.8484,0.2121
2,2001-03-30,79.7594,-0.056,,2724.8104,,3527.4472,802.6368,0.2275,,79.7594,0.0,,2418.327,,3069.1754,650.8484,0.2121
3,2001-04-30,86.574,0.0854,,2957.6184,,3527.4472,569.8288,0.1615,,86.574,0.0,,2418.327,,3069.1754,650.8484,0.2121
4,2001-05-31,86.0887,-0.0056,,2941.0391,,3527.4472,586.4081,0.1662,,86.0887,-0.0056,,2404.7708,,3069.1754,664.4046,0.2165
5,2001-06-29,84.0372,-0.0238,,2870.9532,,3527.4472,656.494,0.1861,,84.0372,0.0,,2404.7708,,3069.1754,664.4046,0.2165
6,2001-07-31,83.1804,-0.0102,,2841.6817,,3527.4472,685.7655,0.1944,,83.1804,0.0,,2404.7708,,3069.1754,664.4046,0.2165
7,2001-08-31,78.2451,-0.0593,,2673.0777,,3527.4472,854.3695,0.2422,,78.2451,0.0,,2404.7708,,3069.1754,664.4046,0.2165
8,2001-09-28,71.8608,-0.0816,,2454.9733,,3527.4472,1072.4739,0.304,,71.8608,0.0,,2404.7708,,3069.1754,664.4046,0.2165
9,2001-10-31,72.7966,0.013,,2486.9415,,3527.4472,1040.5057,0.295,,72.7966,0.0,,2404.7708,,3069.1754,664.4046,0.2165
10,2001-11-30,78.4731,0.078,,2680.8665,,3527.4472,846.5807,0.24,,78.4731,0.078,,2592.2884,,3069.1754,476.887,0.1554
11,2001-12-31,78.9138,0.0056,,2695.9233,,3527.4472,831.5239,0.2357,,78.9138,0.0056,,2606.8477,,3069.1754,462.3277,0.1506
12,2002-01-31,78.1406,-0.0098,,2669.5065,,3527.4472,857.9407,0.2432,,78.1406,-0.0098,,2581.3037,,3069.1754,487.8717,0.159
13,2002-02-28,76.739,-0.0179,,2621.6262,,3527.4472,905.821,0.2568,,76.739,0.0,,2581.3037,,3069.1754,487.8717,0.159
14,2002-03-29,79.29,0.0332,,2708.7763,,3527.4472,818.6709,0.2321,,79.29,0.0332,,2667.1133,,3069.1754,402.0621,0.131
15,2002-04-30,74.6789,-0.0582,,2551.2454,,3527.4472,976.2018,0.2767,,74.6789,-0.0582,,2512.0053,,3069.1754,557.1701,0.1815
16,2002-05-31,74.2358,-0.0059,,2536.1072,,3527.4472,991.34,0.281,,74.2358,0.0,,2512.0053,,3069.1754,557.1701,0.1815
17,2002-06-28,68.7607,-0.0738,,2349.0623,,3527.4472,1178.3849,0.3341,,68.7607,0.0,,2512.0053,,3069.1754,557.1701,0.1815
18,2002-07-31,63.341,-0.0788,,2163.91,,3527.4472,1363.5372,0.3866,,63.341,0.0,,2512.0053,,3069.1754,557.1701,0.1815
19,2002-08-30,63.7718,0.0068,,2178.6271,,3527.4472,1348.8201,0.3824,,63.7718,0.0,,2512.0053,,3069.1754,557.1701,0.1815
20,2002-09-30,57.0851,-0.1049,,1950.1924,,3527.4472,1577.2548,0.4471,,57.0851,-0.1049,,2248.615,,3069.1754,820.5604,0.2674
21,2002-10-31,61.7823,0.0823,,2110.6617,,3527.4472,1416.7855,0.4016,,61.7823,0.0,,2248.615,,3069.1754,820.5604,0.2674
22,2002-11-29,65.5931,0.0617,,2240.8495,,3527.4472,1286.5977,0.3647,,65.5931,0.0617,,2387.3119,,3069.1754,681.8635,0.2222
23,2002-12-31,61.8782,-0.0566,,2113.936,,3527.4472,1413.5112,0.4007,,61.8782,-0.0566,,2252.1033,,3069.1754,817.0721,0.2662
