,Start Date,End Date,Std Dev,CAGR,Max Percentage DD,SSR
0,1995-01-31,2000-01-31,0.04,0.2632,-inf,6.579999999999999
1,1995-02-28,2000-02-29,0.0407,0.2492,-3.428008178507977e-08,6.122850122850123
2,1995-03-31,2000-03-31,0.0408,0.2656,-3.428008178507977e-08,6.509803921568627
3,1995-04-28,2000-04-28,0.042,0.2493,-3.428008178507977e-08,5.935714285714285
4,1995-05-31,2000-05-31,0.0426,0.2357,-3.428008178507977e-08,5.532863849765258
5,1995-06-30,2000-06-30,0.0428,0.2355,-2.1790581678590677e-08,5.502336448598131
6,1995-07-31,2000-07-31,0.0428,0.2239,-2.1790581678590677e-08,5.231308411214953
7,1995-08-31,2000-08-31,0.043,0.2383,-2.1790581678590677e-08,5.5418604651162795
8,1995-09-29,2000-09-29,0.0434,0.2143,-2.1790581678590677e-08,4.93778801843318
9,1995-10-31,2000-10-31,0.0443,0.2139,-2.1790581678590677e-08,4.8284424379232505
10,1995-11-30,2000-11-30,0.0443,0.1849,-2.1790581678590677e-08,4.173814898419865
11,1995-12-29,2000-12-29,0.0457,0.18,-2.1790581678590677e-08,3.938730853391685
12,1996-01-31,2001-01-31,0.0458,0.182,-2.1790581678590677e-08,3.9737991266375543
13,1996-02-29,2001-02-28,0.0459,0.1578,-2.1790581678590677e-08,3.437908496732026
14,1996-03-29,2001-03-30,0.048,0.1406,-2.1790581678590677e-08,2.9291666666666667
15,1996-04-30,2001-04-30,0.0488,0.157,-2.1790581678590677e-08,3.2172131147540983
16,1996-05-31,2001-05-31,0.0498,0.1505,-2.1790581678590677e-08,3.022088353413655
17,1996-06-28,2001-06-29,0.0498,0.143,-2.1790581678590677e-08,2.8714859437751
18,1996-07-31,2001-07-31,0.05,0.1512,-2.1790581678590677e-08,3.024
19,1996-08-30,2001-08-31,0.0495,0.1329,-2.1790581678590677e-08,2.6848484848484846
20,1996-09-30,2001-09-28,0.0504,0.1017,-2.1790581678590677e-08,2.017857142857143
21,1996-10-31,2001-10-31,0.0515,0.0975,-2.1790581678590677e-08,1.893203883495146
22,1996-11-29,2001-11-30,0.0514,0.0986,-2.1790581678590677e-08,1.9182879377431905
23,1996-12-31,2001-12-31,0.0515,0.105,-2.1790581678590677e-08,2.0388349514563107
24,1997-01-31,2002-01-31,0.0513,0.0897,-2.1790581678590677e-08,1.7485380116959066
25,1997-02-28,2002-02-28,0.0509,0.0837,-2.1790581678590677e-08,1.6444007858546168
26,1997-03-31,2002-03-29,0.051,0.1007,-2.1790581678590677e-08,1.9745098039215687
27,1997-04-30,2002-04-30,0.0507,0.0744,-2.1790581678590677e-08,1.4674556213017749
28,1997-05-30,2002-05-31,0.0509,0.0601,-2.1790581678590677e-08,1.180746561886051
29,1997-06-30,2002-06-28,0.0504,0.0356,-1.2389106725481493e-08,0.7063492063492064
30,1997-07-31,2002-07-31,0.0512,0.0033,-1.2389106725481493e-08,0.064453125
