,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
0,1995-01-31,29.2715,,,1000.0,,1000.0,0.0,0.0,0.0,0.0,-1000.0,-inf,-1000.0,0.0,-inf
1,1995-02-28,30.4661,0.0408,,1040.8101,True,1040.8101,,,1040.8101,1040.8101,1.2875376114607207e-05,1.2370533409127378e-08,1.2875376114607207e-05,,1.2370533409127378e-08
2,1995-03-31,31.3145,0.0278,,1069.7923,True,1069.7923,,,1069.7923,1069.7923,-1.0671178415577742e-05,-9.975000208524348e-09,-1.0671178415577742e-05,,-9.975000208524348e-09
3,1995-04-28,32.2421,0.0296,,1101.4831,True,1101.4831,,,1101.4831,1101.4831,4.913656493954477e-05,4.4609458773852066e-08,4.913656493954477e-05,,4.4609458773852066e-08
4,1995-05-31,33.5213,0.0397,,1145.1826,True,1145.1826,,,1145.1826,1145.1826,-3.9256953186850296e-05,-3.428008178507977e-08,-3.9256953186850296e-05,,-3.428008178507977e-08
5,1995-06-30,34.1989,0.0202,0.1683,1168.3332,True,1168.3332,,,1168.3332,1168.3332,3.8614678487647325e-05,3.305108378983609e-08,3.8614678487647325e-05,,3.305108378983609e-08
6,1995-07-31,35.2989,0.0322,0.1586,1205.9131,True,1205.9131,,,1205.9131,1205.9131,-2.5292251848441083e-05,-2.0973527734661048e-08,-2.5292251848441083e-05,,-2.0973527734661048e-08
7,1995-08-31,35.4561,0.0045,0.1323,1211.2817,True,1211.2817,,,1211.2817,1211.2817,8.434841674898053e-06,6.963567331115505e-09,8.434841674898053e-06,,6.963567331115505e-09
8,1995-09-29,36.9588,0.0424,0.1463,1262.6183,True,1262.6183,,,1262.6183,1262.6183,3.5540815588319674e-05,2.814850346167141e-08,3.5540815588319674e-05,,2.814850346167141e-08
9,1995-10-31,36.8502,-0.0029,0.0993,1258.9093,True,1258.9093,,,1262.6183,1262.6183,3.7090063041384838,0.0029375515182525737,3.7090063041384838,,0.0029375515182525737
10,1995-11-30,38.4893,0.0445,0.1255,1314.9047,True,1314.9047,,,1314.9047,1314.9047,-1.5519649650741485e-05,-1.1802870315043732e-08,-1.5519649650741485e-05,,-1.1802870315043732e-08
11,1995-12-29,39.0884,0.0156,0.1074,1335.3738,True,1335.3738,,,1335.3738,1335.3738,2.7428302018961404e-05,2.0539793441328115e-08,2.7428302018961404e-05,,2.0539793441328115e-08
12,1996-01-31,40.4791,0.0356,0.1417,1382.884,True,1382.884,0.3829,0.3829,1382.884,1382.884,4.71863472739642e-05,3.4121695871789826e-08,4.71863472739642e-05,,3.4121695871789826e-08
13,1996-02-29,40.6083,0.0032,0.0987,1387.2973,True,1387.2973,0.3873,0.3873,1387.2973,1387.2973,3.695268469527946e-05,2.6636456868530962e-08,3.695268469527946e-05,,2.6636456868530962e-08
14,1996-03-29,41.3079,0.0172,0.121,1411.198,True,1411.198,0.4112,0.4112,1411.198,1411.198,4.420668028615182e-05,3.132563983661529e-08,4.420668028615182e-05,,3.132563983661529e-08
15,1996-04-30,41.7569,0.0109,0.0849,1426.5366,True,1426.5366,0.4265,0.4265,1426.5366,1426.5366,3.774799847633403e-05,2.6461289865492436e-08,3.774799847633403e-05,,2.6461289865492436e-08
16,1996-05-31,42.7048,0.0227,0.0925,1458.9196,True,1458.9196,0.4589,0.4589,1458.9196,1458.9196,-2.579784063527768e-05,-1.7682839160758196e-08,-2.579784063527768e-05,,-1.7682839160758196e-08
